drug,fold,role,model_id
gemcitabine,1,fit,ACH-000265
gemcitabine,1,fit,ACH-000589
gemcitabine,1,fit,ACH-000748
gemcitabine,1,fit,ACH-000837
gemcitabine,1,fit,ACH-000098
gemcitabine,1,fit,ACH-000601
gemcitabine,1,fit,ACH-000810
gemcitabine,1,fit,ACH-000776
gemcitabine,1,fit,ACH-000367
gemcitabine,1,fit,ACH-000988
gemcitabine,1,fit,ACH-000488
gemcitabine,1,fit,ACH-000924
gemcitabine,1,fit,ACH-001318
gemcitabine,1,fit,ACH-000906
gemcitabine,1,fit,ACH-000666
gemcitabine,1,fit,ACH-000688
gemcitabine,1,fit,ACH-000292
gemcitabine,1,fit,ACH-000788
gemcitabine,1,fit,ACH-000796
gemcitabine,1,fit,ACH-000433
gemcitabine,1,fit,ACH-000766
gemcitabine,1,fit,ACH-000950
gemcitabine,1,fit,ACH-000678
gemcitabine,1,fit,ACH-000667
gemcitabine,1,fit,ACH-000480
gemcitabine,1,fit,ACH-000191
gemcitabine,1,fit,ACH-000395
gemcitabine,1,fit,ACH-000719
gemcitabine,1,fit,ACH-000352
gemcitabine,1,fit,ACH-001307
gemcitabine,1,fit,ACH-000759
gemcitabine,1,fit,ACH-000716
gemcitabine,1,fit,ACH-000139
gemcitabine,1,fit,ACH-000481
gemcitabine,1,fit,ACH-000618
gemcitabine,1,fit,ACH-000662
gemcitabine,1,fit,ACH-000665
gemcitabine,1,fit,ACH-000415
gemcitabine,1,fit,ACH-000096
gemcitabine,1,fit,ACH-000319
gemcitabine,1,fit,ACH-000890
gemcitabine,1,fit,ACH-000008
gemcitabine,1,fit,ACH-000351
gemcitabine,1,fit,ACH-000444
gemcitabine,1,fit,ACH-000879
gemcitabine,1,fit,ACH-000651
gemcitabine,1,fit,ACH-000996
gemcitabine,1,fit,ACH-000389
gemcitabine,1,fit,ACH-000447
gemcitabine,1,fit,ACH-000099
gemcitabine,1,fit,ACH-000845
gemcitabine,1,fit,ACH-000307
gemcitabine,1,fit,ACH-000021
gemcitabine,1,fit,ACH-000803
gemcitabine,1,fit,ACH-000147
gemcitabine,1,fit,ACH-000035
gemcitabine,1,fit,ACH-000537
gemcitabine,1,fit,ACH-000376
gemcitabine,1,fit,ACH-000469
gemcitabine,1,fit,ACH-000994
gemcitabine,1,fit,ACH-000040
gemcitabine,1,fit,ACH-000842
gemcitabine,1,fit,ACH-000013
gemcitabine,1,fit,ACH-000277
gemcitabine,1,fit,ACH-000839
gemcitabine,1,fit,ACH-000792
gemcitabine,1,fit,ACH-000450
gemcitabine,1,fit,ACH-000545
gemcitabine,1,fit,ACH-000457
gemcitabine,1,fit,ACH-000939
gemcitabine,1,fit,ACH-000888
gemcitabine,1,fit,ACH-000704
gemcitabine,1,fit,ACH-000973
gemcitabine,1,fit,ACH-000856
gemcitabine,1,fit,ACH-000090
gemcitabine,1,fit,ACH-000573
gemcitabine,1,fit,ACH-000417
gemcitabine,1,fit,ACH-000720
gemcitabine,1,fit,ACH-000620
gemcitabine,1,fit,ACH-000288
gemcitabine,1,fit,ACH-000750
gemcitabine,1,fit,ACH-000680
gemcitabine,1,fit,ACH-000855
gemcitabine,1,fit,ACH-000582
gemcitabine,1,fit,ACH-000368
gemcitabine,1,fit,ACH-000141
gemcitabine,1,fit,ACH-000913
gemcitabine,1,fit,ACH-000592
gemcitabine,1,fit,ACH-000086
gemcitabine,1,fit,ACH-000785
gemcitabine,1,fit,ACH-000979
gemcitabine,1,fit,ACH-000605
gemcitabine,1,fit,ACH-000018
gemcitabine,1,fit,ACH-000643
gemcitabine,1,fit,ACH-000679
gemcitabine,1,fit,ACH-000880
gemcitabine,1,fit,ACH-000805
gemcitabine,1,fit,ACH-000343
gemcitabine,1,fit,ACH-000155
gemcitabine,1,fit,ACH-000778
gemcitabine,1,fit,ACH-000669
gemcitabine,1,fit,ACH-000527
gemcitabine,1,fit,ACH-000445
gemcitabine,1,fit,ACH-000836
gemcitabine,1,fit,ACH-000019
gemcitabine,1,fit,ACH-000587
gemcitabine,1,fit,ACH-000087
gemcitabine,1,fit,ACH-000082
gemcitabine,1,fit,ACH-000261
gemcitabine,1,fit,ACH-000853
gemcitabine,1,fit,ACH-000222
gemcitabine,1,fit,ACH-000228
gemcitabine,1,fit,ACH-000012
gemcitabine,1,fit,ACH-000834
gemcitabine,1,calibration,ACH-000463
gemcitabine,1,calibration,ACH-000510
gemcitabine,1,calibration,ACH-000015
gemcitabine,1,calibration,ACH-000956
gemcitabine,1,calibration,ACH-000735
gemcitabine,1,calibration,ACH-000835
gemcitabine,1,calibration,ACH-000037
gemcitabine,1,calibration,ACH-000948
gemcitabine,1,calibration,ACH-000738
gemcitabine,1,calibration,ACH-000022
gemcitabine,1,calibration,ACH-000648
gemcitabine,1,calibration,ACH-000791
gemcitabine,1,calibration,ACH-000331
gemcitabine,1,calibration,ACH-000217
gemcitabine,1,calibration,ACH-000528
gemcitabine,1,calibration,ACH-000210
gemcitabine,1,calibration,ACH-000221
gemcitabine,1,calibration,ACH-000734
gemcitabine,1,calibration,ACH-000783
gemcitabine,1,calibration,ACH-000858
gemcitabine,1,calibration,ACH-000329
gemcitabine,1,calibration,ACH-000052
gemcitabine,1,calibration,ACH-000804
gemcitabine,1,calibration,ACH-000273
gemcitabine,1,calibration,ACH-000391
gemcitabine,1,calibration,ACH-000007
gemcitabine,1,calibration,ACH-000661
gemcitabine,1,calibration,ACH-000827
gemcitabine,1,calibration,ACH-000747
gemcitabine,1,calibration,ACH-000479
gemcitabine,1,calibration,ACH-000244
gemcitabine,1,calibration,ACH-000959
gemcitabine,1,calibration,ACH-000929
gemcitabine,1,calibration,ACH-000390
gemcitabine,1,calibration,ACH-000347
gemcitabine,1,calibration,ACH-000142
gemcitabine,1,calibration,ACH-001128
gemcitabine,1,calibration,ACH-000814
gemcitabine,1,calibration,ACH-000468
gemcitabine,1,calibration,ACH-000777
gemcitabine,1,calibration,ACH-000968
gemcitabine,1,calibration,ACH-000484
gemcitabine,1,calibration,ACH-000921
gemcitabine,1,calibration,ACH-000721
gemcitabine,1,calibration,ACH-000832
gemcitabine,1,calibration,ACH-000308
gemcitabine,1,calibration,ACH-000730
gemcitabine,1,calibration,ACH-000579
gemcitabine,1,test,ACH-000313
gemcitabine,1,test,ACH-000383
gemcitabine,1,test,ACH-000917
gemcitabine,1,test,ACH-000117
gemcitabine,1,test,ACH-000322
gemcitabine,1,test,ACH-000332
gemcitabine,1,test,ACH-000848
gemcitabine,1,test,ACH-000684
gemcitabine,1,test,ACH-000732
gemcitabine,1,test,ACH-000896
gemcitabine,1,test,ACH-000784
gemcitabine,1,test,ACH-000517
gemcitabine,1,test,ACH-000108
gemcitabine,1,test,ACH-000866
gemcitabine,1,test,ACH-000163
gemcitabine,1,test,ACH-000532
gemcitabine,1,test,ACH-000901
gemcitabine,1,test,ACH-000671
gemcitabine,1,test,ACH-000437
gemcitabine,1,test,ACH-000503
gemcitabine,1,test,ACH-000361
gemcitabine,1,test,ACH-000407
gemcitabine,1,test,ACH-000599
gemcitabine,1,test,ACH-000476
gemcitabine,1,test,ACH-000270
gemcitabine,1,test,ACH-000118
gemcitabine,1,test,ACH-000359
gemcitabine,1,test,ACH-000397
gemcitabine,1,test,ACH-000724
gemcitabine,1,test,ACH-000092
gemcitabine,1,test,ACH-000628
gemcitabine,1,test,ACH-000060
gemcitabine,1,test,ACH-000927
gemcitabine,1,test,ACH-000905
gemcitabine,1,test,ACH-000822
gemcitabine,1,test,ACH-000411
gemcitabine,1,test,ACH-000852
gemcitabine,1,test,ACH-000364
gemcitabine,1,test,ACH-000976
gemcitabine,1,test,ACH-000302
gemcitabine,1,test,ACH-000965
gemcitabine,1,test,ACH-000693
gemcitabine,1,test,ACH-000811
gemcitabine,1,test,ACH-000899
gemcitabine,1,test,ACH-000316
gemcitabine,1,test,ACH-000159
gemcitabine,1,test,ACH-000622
gemcitabine,1,test,ACH-000335
gemcitabine,1,test,ACH-000062
gemcitabine,1,test,ACH-000919
gemcitabine,1,test,ACH-000682
gemcitabine,1,test,ACH-000849
gemcitabine,1,test,ACH-000219
gemcitabine,1,test,ACH-000023
gemcitabine,1,test,ACH-000771
gemcitabine,1,test,ACH-000500
gemcitabine,1,test,ACH-000967
gemcitabine,1,test,ACH-000502
gemcitabine,1,test,ACH-001075
gemcitabine,1,test,ACH-000505
gemcitabine,2,fit,ACH-000781
gemcitabine,2,fit,ACH-000769
gemcitabine,2,fit,ACH-000532
gemcitabine,2,fit,ACH-000747
gemcitabine,2,fit,ACH-000582
gemcitabine,2,fit,ACH-000768
gemcitabine,2,fit,ACH-000222
gemcitabine,2,fit,ACH-000450
gemcitabine,2,fit,ACH-000661
gemcitabine,2,fit,ACH-000060
gemcitabine,2,fit,ACH-000614
gemcitabine,2,fit,ACH-000848
gemcitabine,2,fit,ACH-000878
gemcitabine,2,fit,ACH-000308
gemcitabine,2,fit,ACH-001075
gemcitabine,2,fit,ACH-000826
gemcitabine,2,fit,ACH-000019
gemcitabine,2,fit,ACH-000882
gemcitabine,2,fit,ACH-000579
gemcitabine,2,fit,ACH-000417
gemcitabine,2,fit,ACH-000316
gemcitabine,2,fit,ACH-000956
gemcitabine,2,fit,ACH-000721
gemcitabine,2,fit,ACH-000777
gemcitabine,2,fit,ACH-000841
gemcitabine,2,fit,ACH-000277
gemcitabine,2,fit,ACH-001239
gemcitabine,2,fit,ACH-000858
gemcitabine,2,fit,ACH-000087
gemcitabine,2,fit,ACH-000132
gemcitabine,2,fit,ACH-000827
gemcitabine,2,fit,ACH-000389
gemcitabine,2,fit,ACH-000502
gemcitabine,2,fit,ACH-000996
gemcitabine,2,fit,ACH-000343
gemcitabine,2,fit,ACH-000901
gemcitabine,2,fit,ACH-000849
gemcitabine,2,fit,ACH-000250
gemcitabine,2,fit,ACH-000090
gemcitabine,2,fit,ACH-000503
gemcitabine,2,fit,ACH-000666
gemcitabine,2,fit,ACH-000397
gemcitabine,2,fit,ACH-000905
gemcitabine,2,fit,ACH-000527
gemcitabine,2,fit,ACH-000628
gemcitabine,2,fit,ACH-000368
gemcitabine,2,fit,ACH-000988
gemcitabine,2,fit,ACH-000784
gemcitabine,2,fit,ACH-000997
gemcitabine,2,fit,ACH-000335
gemcitabine,2,fit,ACH-000814
gemcitabine,2,fit,ACH-000651
gemcitabine,2,fit,ACH-000096
gemcitabine,2,fit,ACH-000785
gemcitabine,2,fit,ACH-000587
gemcitabine,2,fit,ACH-000191
gemcitabine,2,fit,ACH-000260
gemcitabine,2,fit,ACH-000505
gemcitabine,2,fit,ACH-000735
gemcitabine,2,fit,ACH-000037
gemcitabine,2,fit,ACH-000393
gemcitabine,2,fit,ACH-000264
gemcitabine,2,fit,ACH-000978
gemcitabine,2,fit,ACH-000738
gemcitabine,2,fit,ACH-000469
gemcitabine,2,fit,ACH-000694
gemcitabine,2,fit,ACH-000098
gemcitabine,2,fit,ACH-000879
gemcitabine,2,fit,ACH-000961
gemcitabine,2,fit,ACH-000724
gemcitabine,2,fit,ACH-000223
gemcitabine,2,fit,ACH-000452
gemcitabine,2,fit,ACH-000484
gemcitabine,2,fit,ACH-000971
gemcitabine,2,fit,ACH-000500
gemcitabine,2,fit,ACH-000420
gemcitabine,2,fit,ACH-000403
gemcitabine,2,fit,ACH-000411
gemcitabine,2,fit,ACH-000678
gemcitabine,2,fit,ACH-000407
gemcitabine,2,fit,ACH-000395
gemcitabine,2,fit,ACH-000133
gemcitabine,2,fit,ACH-000329
gemcitabine,2,fit,ACH-000924
gemcitabine,2,fit,ACH-000445
gemcitabine,2,fit,ACH-000919
gemcitabine,2,fit,ACH-000141
gemcitabine,2,fit,ACH-000117
gemcitabine,2,fit,ACH-000086
gemcitabine,2,fit,ACH-000219
gemcitabine,2,fit,ACH-000008
gemcitabine,2,fit,ACH-000361
gemcitabine,2,fit,ACH-000839
gemcitabine,2,fit,ACH-000730
gemcitabine,2,fit,ACH-000313
gemcitabine,2,fit,ACH-000444
gemcitabine,2,fit,ACH-000869
gemcitabine,2,fit,ACH-000845
gemcitabine,2,fit,ACH-000437
gemcitabine,2,fit,ACH-000899
gemcitabine,2,fit,ACH-000950
gemcitabine,2,fit,ACH-000973
gemcitabine,2,fit,ACH-000142
gemcitabine,2,fit,ACH-000693
gemcitabine,2,fit,ACH-000803
gemcitabine,2,fit,ACH-000351
gemcitabine,2,fit,ACH-000307
gemcitabine,2,fit,ACH-001307
gemcitabine,2,fit,ACH-000783
gemcitabine,2,fit,ACH-000800
gemcitabine,2,fit,ACH-000528
gemcitabine,2,fit,ACH-001128
gemcitabine,2,fit,ACH-000720
gemcitabine,2,fit,ACH-000108
gemcitabine,2,fit,ACH-000734
gemcitabine,2,fit,ACH-000099
gemcitabine,2,fit,ACH-000856
gemcitabine,2,fit,ACH-000552
gemcitabine,2,fit,ACH-000147
gemcitabine,2,fit,ACH-000457
gemcitabine,2,fit,ACH-000188
gemcitabine,2,fit,ACH-000281
gemcitabine,2,fit,ACH-000842
gemcitabine,2,fit,ACH-000463
gemcitabine,2,fit,ACH-000888
gemcitabine,2,fit,ACH-000118
gemcitabine,2,fit,ACH-000189
gemcitabine,2,fit,ACH-000966
gemcitabine,2,fit,ACH-000890
gemcitabine,2,fit,ACH-000929
gemcitabine,2,fit,ACH-000665
gemcitabine,2,fit,ACH-000288
gemcitabine,2,fit,ACH-000524
gemcitabine,2,fit,ACH-000312
gemcitabine,2,fit,ACH-000517
gemcitabine,2,fit,ACH-000359
gemcitabine,2,fit,ACH-000447
gemcitabine,2,fit,ACH-000493
gemcitabine,2,fit,ACH-000545
gemcitabine,2,fit,ACH-000939
gemcitabine,2,fit,ACH-000367
gemcitabine,2,fit,ACH-000302
gemcitabine,2,fit,ACH-000468
gemcitabine,2,fit,ACH-000022
gemcitabine,2,fit,ACH-000192
gemcitabine,2,fit,ACH-000667
gemcitabine,2,fit,ACH-000620
gemcitabine,2,fit,ACH-000137
gemcitabine,2,fit,ACH-000704
gemcitabine,2,fit,ACH-000391
gemcitabine,2,fit,ACH-000994
gemcitabine,2,fit,ACH-000390
gemcitabine,2,fit,ACH-000273
gemcitabine,2,fit,ACH-000542
gemcitabine,2,fit,ACH-000048
gemcitabine,2,fit,ACH-000967
gemcitabine,2,fit,ACH-000510
gemcitabine,2,fit,ACH-000007
gemcitabine,2,fit,ACH-000896
gemcitabine,2,fit,ACH-000155
gemcitabine,2,fit,ACH-000853
gemcitabine,2,fit,ACH-000688
gemcitabine,2,fit,ACH-000479
gemcitabine,2,fit,ACH-000082
gemcitabine,2,fit,ACH-000979
gemcitabine,2,fit,ACH-000701
gemcitabine,2,fit,ACH-000732
gemcitabine,2,fit,ACH-000843
gemcitabine,2,fit,ACH-000811
gemcitabine,2,fit,ACH-000535
gemcitabine,2,fit,ACH-000855
gemcitabine,2,fit,ACH-000832
gemcitabine,2,fit,ACH-000833
gemcitabine,2,fit,ACH-000819
gemcitabine,2,fit,ACH-000433
gemcitabine,2,fit,ACH-000352
gemcitabine,2,fit,ACH-000270
gemcitabine,2,fit,ACH-000035
gemcitabine,2,fit,ACH-000771
gemcitabine,2,fit,ACH-000680
gemcitabine,2,fit,ACH-000822
gemcitabine,2,fit,ACH-000679
gemcitabine,2,fit,ACH-000040
gemcitabine,2,fit,ACH-000913
gemcitabine,2,fit,ACH-000163
gemcitabine,2,fit,ACH-000364
gemcitabine,2,fit,ACH-000537
gemcitabine,2,fit,ACH-000810
gemcitabine,2,fit,ACH-000671
gemcitabine,2,fit,ACH-000750
gemcitabine,2,calibration,ACH-000228
gemcitabine,2,calibration,ACH-000211
gemcitabine,2,calibration,ACH-000627
gemcitabine,2,calibration,ACH-000965
gemcitabine,2,calibration,ACH-000544
gemcitabine,2,calibration,ACH-000592
gemcitabine,2,calibration,ACH-000481
gemcitabine,2,calibration,ACH-000123
gemcitabine,2,calibration,ACH-000866
gemcitabine,2,calibration,ACH-000062
gemcitabine,2,calibration,ACH-000836
gemcitabine,2,calibration,ACH-000637
gemcitabine,2,calibration,ACH-000955
gemcitabine,2,calibration,ACH-000954
gemcitabine,2,calibration,ACH-000622
gemcitabine,2,calibration,ACH-000042
gemcitabine,2,calibration,ACH-000796
gemcitabine,2,calibration,ACH-000959
gemcitabine,2,calibration,ACH-000383
gemcitabine,2,calibration,ACH-000092
gemcitabine,2,calibration,ACH-000917
gemcitabine,2,calibration,ACH-000684
gemcitabine,2,calibration,ACH-000261
gemcitabine,2,calibration,ACH-000759
gemcitabine,2,calibration,ACH-000052
gemcitabine,2,calibration,ACH-000023
gemcitabine,2,calibration,ACH-000164
gemcitabine,2,calibration,ACH-000013
gemcitabine,2,calibration,ACH-000605
gemcitabine,2,calibration,ACH-000322
gemcitabine,2,calibration,ACH-000476
gemcitabine,2,calibration,ACH-000852
gemcitabine,2,calibration,ACH-000927
gemcitabine,2,calibration,ACH-000976
gemcitabine,2,calibration,ACH-000319
gemcitabine,2,calibration,ACH-000719
gemcitabine,2,calibration,ACH-000643
gemcitabine,2,calibration,ACH-000471
gemcitabine,2,calibration,ACH-000837
gemcitabine,2,calibration,ACH-000948
gemcitabine,2,calibration,ACH-000159
gemcitabine,2,calibration,ACH-000758
gemcitabine,2,calibration,ACH-000332
gemcitabine,2,calibration,ACH-000221
gemcitabine,2,calibration,ACH-000599
gemcitabine,2,calibration,ACH-001318
gemcitabine,2,calibration,ACH-000210
gemcitabine,2,calibration,ACH-000682
gemcitabine,2,test,ACH-000792
gemcitabine,2,test,ACH-000941
gemcitabine,2,test,ACH-000376
gemcitabine,2,test,ACH-000880
gemcitabine,2,test,ACH-000805
gemcitabine,2,test,ACH-000331
gemcitabine,2,test,ACH-000429
gemcitabine,2,test,ACH-000012
gemcitabine,2,test,ACH-000662
gemcitabine,2,test,ACH-000943
gemcitabine,2,test,ACH-000153
gemcitabine,2,test,ACH-000898
gemcitabine,2,test,ACH-000681
gemcitabine,2,test,ACH-000748
gemcitabine,2,test,ACH-000834
gemcitabine,2,test,ACH-000318
gemcitabine,2,test,ACH-000139
gemcitabine,2,test,ACH-000486
gemcitabine,2,test,ACH-000415
gemcitabine,2,test,ACH-000618
gemcitabine,2,test,ACH-000756
gemcitabine,2,test,ACH-000265
gemcitabine,2,test,ACH-000906
gemcitabine,2,test,ACH-000237
gemcitabine,2,test,ACH-000936
gemcitabine,2,test,ACH-000716
gemcitabine,2,test,ACH-000504
gemcitabine,2,test,ACH-000572
gemcitabine,2,test,ACH-000018
gemcitabine,2,test,ACH-000669
gemcitabine,2,test,ACH-000648
gemcitabine,2,test,ACH-000589
gemcitabine,2,test,ACH-000279
gemcitabine,2,test,ACH-000021
gemcitabine,2,test,ACH-000573
gemcitabine,2,test,ACH-001190
gemcitabine,2,test,ACH-000766
gemcitabine,2,test,ACH-000804
gemcitabine,2,test,ACH-000921
gemcitabine,2,test,ACH-000488
gemcitabine,2,test,ACH-000835
gemcitabine,2,test,ACH-000480
gemcitabine,2,test,ACH-000292
gemcitabine,2,test,ACH-000601
gemcitabine,2,test,ACH-000244
gemcitabine,2,test,ACH-000416
gemcitabine,2,test,ACH-000207
gemcitabine,2,test,ACH-000764
gemcitabine,2,test,ACH-000778
gemcitabine,2,test,ACH-000174
gemcitabine,2,test,ACH-000776
gemcitabine,2,test,ACH-000521
gemcitabine,2,test,ACH-000347
gemcitabine,2,test,ACH-000097
gemcitabine,2,test,ACH-000977
gemcitabine,2,test,ACH-000788
gemcitabine,2,test,ACH-000015
gemcitabine,2,test,ACH-000791
gemcitabine,2,test,ACH-000217
gemcitabine,2,test,ACH-000968
gemcitabine,3,fit,ACH-000117
gemcitabine,3,fit,ACH-000661
gemcitabine,3,fit,ACH-000018
gemcitabine,3,fit,ACH-000261
gemcitabine,3,fit,ACH-000279
gemcitabine,3,fit,ACH-000665
gemcitabine,3,fit,ACH-000316
gemcitabine,3,fit,ACH-000837
gemcitabine,3,fit,ACH-000826
gemcitabine,3,fit,ACH-000147
gemcitabine,3,fit,ACH-000921
gemcitabine,3,fit,ACH-000936
gemcitabine,3,fit,ACH-000532
gemcitabine,3,fit,ACH-000784
gemcitabine,3,fit,ACH-000888
gemcitabine,3,fit,ACH-000060
gemcitabine,3,fit,ACH-000968
gemcitabine,3,fit,ACH-000437
gemcitabine,3,fit,ACH-000834
gemcitabine,3,fit,ACH-000082
gemcitabine,3,fit,ACH-000544
gemcitabine,3,fit,ACH-000771
gemcitabine,3,fit,ACH-000288
gemcitabine,3,fit,ACH-000917
gemcitabine,3,fit,ACH-000941
gemcitabine,3,fit,ACH-000164
gemcitabine,3,fit,ACH-000463
gemcitabine,3,fit,ACH-000192
gemcitabine,3,fit,ACH-000899
gemcitabine,3,fit,ACH-000260
gemcitabine,3,fit,ACH-000811
gemcitabine,3,fit,ACH-000395
gemcitabine,3,fit,ACH-000417
gemcitabine,3,fit,ACH-000842
gemcitabine,3,fit,ACH-000701
gemcitabine,3,fit,ACH-000313
gemcitabine,3,fit,ACH-000521
gemcitabine,3,fit,ACH-000019
gemcitabine,3,fit,ACH-000622
gemcitabine,3,fit,ACH-000929
gemcitabine,3,fit,ACH-000429
gemcitabine,3,fit,ACH-000927
gemcitabine,3,fit,ACH-000879
gemcitabine,3,fit,ACH-000312
gemcitabine,3,fit,ACH-000839
gemcitabine,3,fit,ACH-000768
gemcitabine,3,fit,ACH-000845
gemcitabine,3,fit,ACH-000979
gemcitabine,3,fit,ACH-000898
gemcitabine,3,fit,ACH-000042
gemcitabine,3,fit,ACH-000852
gemcitabine,3,fit,ACH-001190
gemcitabine,3,fit,ACH-000343
gemcitabine,3,fit,ACH-000250
gemcitabine,3,fit,ACH-000704
gemcitabine,3,fit,ACH-000210
gemcitabine,3,fit,ACH-000858
gemcitabine,3,fit,ACH-000542
gemcitabine,3,fit,ACH-000411
gemcitabine,3,fit,ACH-000866
gemcitabine,3,fit,ACH-000869
gemcitabine,3,fit,ACH-000924
gemcitabine,3,fit,ACH-000804
gemcitabine,3,fit,ACH-000087
gemcitabine,3,fit,ACH-000007
gemcitabine,3,fit,ACH-000724
gemcitabine,3,fit,ACH-000132
gemcitabine,3,fit,ACH-000662
gemcitabine,3,fit,ACH-000785
gemcitabine,3,fit,ACH-000137
gemcitabine,3,fit,ACH-000479
gemcitabine,3,fit,ACH-000118
gemcitabine,3,fit,ACH-000682
gemcitabine,3,fit,ACH-000791
gemcitabine,3,fit,ACH-000919
gemcitabine,3,fit,ACH-000517
gemcitabine,3,fit,ACH-000978
gemcitabine,3,fit,ACH-000669
gemcitabine,3,fit,ACH-000832
gemcitabine,3,fit,ACH-000292
gemcitabine,3,fit,ACH-000648
gemcitabine,3,fit,ACH-000552
gemcitabine,3,fit,ACH-000734
gemcitabine,3,fit,ACH-000480
gemcitabine,3,fit,ACH-000221
gemcitabine,3,fit,ACH-000510
gemcitabine,3,fit,ACH-000244
gemcitabine,3,fit,ACH-000721
gemcitabine,3,fit,ACH-000527
gemcitabine,3,fit,ACH-000322
gemcitabine,3,fit,ACH-000524
gemcitabine,3,fit,ACH-000302
gemcitabine,3,fit,ACH-000764
gemcitabine,3,fit,ACH-000880
gemcitabine,3,fit,ACH-000012
gemcitabine,3,fit,ACH-000265
gemcitabine,3,fit,ACH-000667
gemcitabine,3,fit,ACH-000021
gemcitabine,3,fit,ACH-000468
gemcitabine,3,fit,ACH-000783
gemcitabine,3,fit,ACH-000264
gemcitabine,3,fit,ACH-000943
gemcitabine,3,fit,ACH-000848
gemcitabine,3,fit,ACH-000062
gemcitabine,3,fit,ACH-000503
gemcitabine,3,fit,ACH-000383
gemcitabine,3,fit,ACH-000827
gemcitabine,3,fit,ACH-000447
gemcitabine,3,fit,ACH-000222
gemcitabine,3,fit,ACH-000988
gemcitabine,3,fit,ACH-000307
gemcitabine,3,fit,ACH-000452
gemcitabine,3,fit,ACH-000956
gemcitabine,3,fit,ACH-000950
gemcitabine,3,fit,ACH-000505
gemcitabine,3,fit,ACH-000319
gemcitabine,3,fit,ACH-000097
gemcitabine,3,fit,ACH-000833
gemcitabine,3,fit,ACH-000796
gemcitabine,3,fit,ACH-000814
gemcitabine,3,fit,ACH-000376
gemcitabine,3,fit,ACH-000819
gemcitabine,3,fit,ACH-000318
gemcitabine,3,fit,ACH-000389
gemcitabine,3,fit,ACH-000273
gemcitabine,3,fit,ACH-000769
gemcitabine,3,fit,ACH-000416
gemcitabine,3,fit,ACH-000444
gemcitabine,3,fit,ACH-000681
gemcitabine,3,fit,ACH-000347
gemcitabine,3,fit,ACH-000500
gemcitabine,3,fit,ACH-000368
gemcitabine,3,fit,ACH-000329
gemcitabine,3,fit,ACH-000142
gemcitabine,3,fit,ACH-000139
gemcitabine,3,fit,ACH-000805
gemcitabine,3,fit,ACH-000023
gemcitabine,3,fit,ACH-000788
gemcitabine,3,fit,ACH-000719
gemcitabine,3,fit,ACH-000403
